2026-04-06 02:28:29 | INFO     | root                           | Logging initialised  →  file=bot.log  level=INFO
2026-04-06 02:28:29 | INFO     | main                           | ============================================================
2026-04-06 02:28:29 | INFO     | main                           |   3rd Touch Trendline Bot — starting up
2026-04-06 02:28:29 | INFO     | main                           |   Exchange  : Binance Spot
2026-04-06 02:28:29 | INFO     | main                           |   AI Model  : claude-sonnet-4-6
2026-04-06 02:28:29 | INFO     | main                           |   Top pairs : 50
2026-04-06 02:28:29 | INFO     | main                           |   Timeframes: ['5m', '15m']
2026-04-06 02:28:29 | INFO     | main                           | ============================================================
2026-04-06 02:28:29 | INFO     | main                           | ScoutAgent initialised with shared exchange connection
2026-04-06 02:28:29 | WARNING  | main                           | BTC 1h seed failed: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-06 02:28:29 | ERROR    | agents.scout                   | Symbol discovery failed: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-06 02:28:29 | WARNING  | agents.scout                   | REST seed failed for BTC/USDT 5m: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-06 02:28:29 | WARNING  | agents.scout                   | WS stream error BTC/USDT 5m — reconnecting in 1s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:30 | WARNING  | agents.scout                   | REST seed failed for BTC/USDT 15m: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-06 02:28:30 | INFO     | agents.scout                   | Added symbol to pool: BTC/USDT
2026-04-06 02:28:30 | INFO     | main                           | Initial pool: 1 symbols × 2 timeframes
2026-04-06 02:28:30 | WARNING  | agents.scout                   | WS stream error BTC/USDT 15m — reconnecting in 1s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:30 | WARNING  | utils.notifications            | Telegram send failed: Client error '401 Unauthorized' for url 'https://api.telegram.org/bot0000000000:placeholder_telegram_token/sendMessage'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/401
2026-04-06 02:28:30 | INFO     | main                           | All tasks started — bot is running.  Press Ctrl-C to stop.
2026-04-06 02:28:30 | INFO     | main                           | 📊 Dashboard → http://localhost:8000
2026-04-06 02:28:30 | WARNING  | main                           | BTC 1h stream error — reconnecting in 1s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:30 | INFO     | web.server                     | Dashboard available at http://localhost:8000
2026-04-06 02:28:30 | ERROR    | agents.scout                   | Symbol discovery failed: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-06 02:28:30 | WARNING  | agents.scout                   | WS stream error BTC/USDT 5m — reconnecting in 2s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:31 | WARNING  | agents.scout                   | WS stream error BTC/USDT 15m — reconnecting in 2s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:31 | WARNING  | main                           | BTC 1h stream error — reconnecting in 2s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:32 | WARNING  | agents.scout                   | WS stream error BTC/USDT 5m — reconnecting in 4s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:33 | WARNING  | agents.scout                   | WS stream error BTC/USDT 15m — reconnecting in 4s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:33 | WARNING  | main                           | BTC 1h stream error — reconnecting in 4s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:36 | WARNING  | agents.scout                   | WS stream error BTC/USDT 5m — reconnecting in 8s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:37 | WARNING  | agents.scout                   | WS stream error BTC/USDT 15m — reconnecting in 8s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:37 | WARNING  | main                           | BTC 1h stream error — reconnecting in 8s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:44 | WARNING  | agents.scout                   | WS stream error BTC/USDT 5m — reconnecting in 16s: 'async for' requires an object with __aiter__ method, got coroutine
2026-04-06 02:28:45 | WARNING  | agents.scout                   | WS stream error BTC/USDT 15m — reconnecting in 16s: 'async for' requires an object with __aiter__ method, got coroutine
